epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,321.246,1.84973,2.67776,1.7034,0.93478,0.08239,0.28518,0.11103,1.90424,3.11482,1.63656,0.000647059,0.000647059,0.000647059
2,677.272,1.6487,2.06048,1.55121,0.36827,0.35057,0.26205,0.08776,2.0074,2.69151,1.88356,0.00128771,0.00128771,0.00128771
3,1007.05,1.70966,2.08596,1.63021,0.32704,0.19828,0.18909,0.06195,2.2959,2.86023,2.16984,0.00190197,0.00190197,0.00190197
4,1324.25,1.72299,1.96881,1.62678,0.34311,0.3477,0.28321,0.11474,2.10843,3.59526,1.99795,0.0018812,0.0018812,0.0018812
5,1640.04,1.6898,1.8085,1.59632,0.37239,0.3592,0.31819,0.12133,2.12686,2.63202,1.8724,0.0018416,0.0018416,0.0018416
6,1927.99,1.63964,1.74411,1.58371,0.51941,0.38218,0.40193,0.15556,1.87855,2.2994,1.84378,0.001802,0.001802,0.001802
7,2244.34,1.64208,1.68119,1.58514,0.6163,0.48925,0.52743,0.20061,1.98423,2.38104,1.91464,0.0017624,0.0017624,0.0017624
8,2557.65,1.62145,1.60851,1.52299,0.59801,0.39943,0.44189,0.19577,1.93228,2.09478,1.68152,0.0017228,0.0017228,0.0017228
9,2898.89,1.5942,1.62884,1.5474,0.67827,0.5431,0.59978,0.27241,1.73507,1.62616,1.58896,0.0016832,0.0016832,0.0016832
10,3280.64,1.58701,1.56268,1.50727,0.70754,0.56897,0.59133,0.26192,1.84423,1.76272,1.65627,0.0016436,0.0016436,0.0016436
11,3865.65,1.55057,1.48991,1.48204,0.66822,0.57471,0.60468,0.27728,1.80267,1.80051,1.64689,0.001604,0.001604,0.001604
12,4188,1.5304,1.46382,1.48885,0.59675,0.52306,0.54818,0.1646,2.36005,1.82659,2.08777,0.0015644,0.0015644,0.0015644
13,4501.47,1.54575,1.48164,1.51272,0.70894,0.56322,0.65862,0.28682,1.88961,1.61678,1.64822,0.0015248,0.0015248,0.0015248
14,4815.66,1.5444,1.44852,1.49232,0.66754,0.58621,0.64104,0.28736,1.83041,1.50708,1.6097,0.0014852,0.0014852,0.0014852
15,5132.03,1.53405,1.42144,1.48109,0.72067,0.56897,0.63693,0.28281,1.80113,1.58839,1.62959,0.0014456,0.0014456,0.0014456
16,5444.42,1.51068,1.40438,1.48362,0.64081,0.57471,0.59348,0.24959,1.90534,1.89815,1.64201,0.001406,0.001406,0.001406
17,5872.51,1.47507,1.37804,1.44386,0.73263,0.57471,0.66392,0.29175,1.8271,1.509,1.6072,0.0013664,0.0013664,0.0013664
18,6179.74,1.47942,1.35778,1.45794,0.71213,0.60345,0.67252,0.28291,1.92838,1.51291,1.66744,0.0013268,0.0013268,0.0013268
19,6486.58,1.46455,1.37724,1.44381,0.75925,0.53161,0.63183,0.26369,1.96762,1.62065,1.69569,0.0012872,0.0012872,0.0012872
20,6792.96,1.45951,1.35438,1.446,0.69407,0.62356,0.69545,0.33542,1.66077,1.46906,1.49749,0.0012476,0.0012476,0.0012476
21,7110.44,1.39546,1.30353,1.40862,0.75518,0.6523,0.71941,0.32303,1.88105,1.33861,1.59564,0.001208,0.001208,0.001208
22,7429.82,1.40184,1.26878,1.40233,0.69479,0.66667,0.70107,0.35653,1.66227,1.30926,1.4912,0.0011684,0.0011684,0.0011684
23,7731.63,1.41607,1.25966,1.39643,0.68362,0.65805,0.69474,0.36591,1.57906,1.32571,1.44209,0.0011288,0.0011288,0.0011288
24,8048.46,1.41099,1.24141,1.40268,0.81108,0.63218,0.73603,0.40125,1.55063,1.26252,1.42151,0.0010892,0.0010892,0.0010892
25,8359.94,1.41404,1.19253,1.386,0.72979,0.68966,0.73585,0.33994,1.84858,1.31826,1.61307,0.0010496,0.0010496,0.0010496
26,8657.8,1.39288,1.17804,1.39389,0.74488,0.67119,0.73506,0.40225,1.54606,1.21588,1.47464,0.00101,0.00101,0.00101
27,8957.9,1.33926,1.16966,1.36351,0.79643,0.66379,0.76094,0.43164,1.50465,1.20165,1.45421,0.0009704,0.0009704,0.0009704
28,9264.4,1.35152,1.13701,1.34371,0.81416,0.6672,0.74335,0.42345,1.51276,1.24886,1.47769,0.0009308,0.0009308,0.0009308
